 screen_name, location, text
mommystory,"Columbus, Ohio","RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
fe5082,,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
d_emmerez,location : sat or leaning.,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
Catscan314,"Pittsburgh, PA","RT @HangManRoyBean: Help us flip the U.S. Senate 

*Candidates we must focus on:

Beto O'Rourke, Texas Jacky Rosen, Nevada
Kyrsten Sinema,"
Joshuaseth73,,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
KatieJoy_RN,Texas,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
MaxwellAmerican,USofA,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
MossmanNancy,,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
GCobbHunter,Orangeburg SC ,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
RitaMcD99237036,,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
mafia2222001,,Texas: U.S. Senate 2018                                                                                     Ted Cru https://t.co/ccoekrVQZt
CassieWoolworth,"Olathe, KS","RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
JoAnneKlem,Nashville,"RT @Cali_Tracii: @RealErinCruz @tedcruz                
Hold the Senate with a #RedNovember.

A M E R I C A 's @tedcruz fo"
EmilyZuccaro,,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
patriot_64,Rhode Island,@Texas !!! Do not elect a socialist liar to the Senate. @tedcruz is getting it done!!!! https://t.co/GcP6v15ClZ
EddyGConfer,"Latrobe, PA","RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
mjdallasblue,,"RT @1AmericanMama: Texas

Ted Cruz- Senate  @tedcruz https://t.co/sq3TyCOQZl"
juliebhunt,San Antonio TX,"RT @BetoORourke: ""About 1,750 area residents filled much of the Rudder Auditorium on the Texas A&amp;M campus on Friday to listen to U.S. Senat"
jenny_weyler,"Massachusetts, USA","RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
DavidHBingham4,"Deer Park, TX","Senate races: GOP up in Texas, Tennessee; Dems up in Arizona, New Jersey  CBS News poll https://t.co/mE31UqnSlj via @CBSPolitics"
Omnibune1,,"Vote Beto ORourke, for Texas senate?: https://t.co/Nxz5qEzwZp via @YouTube"
muskymstr,"Wisconsin, USA","RT @RealMAGASteve: FOREIGN MEDDLING: Beto ORourke busted taking contributions from out of country

Foreign nationals are meddling in U.S."
StarCoreOne02,Mother Box,RT @Peoples_Pundit: Yet another poll showing @SenTedCruz and @MarshaBlackburn at that critical 50-percent threshold. Not counting Kavanaugh
saradellinger,,"@tedcruz Actually, this rage is great for our country and our state. Its going to propel people to vote, and not f https://t.co/cfrJ5WZmLm"
IceBearBarbie,Limbo,"RT @BetoORourke: ""About 1,750 area residents filled much of the Rudder Auditorium on the Texas A&amp;M campus on Friday to listen to U.S. Senat"
007islandboy,"Manhattan, NY","of the AG to immediately revoke Ted Cruz citizenship, &amp; to deport Mr. Cruz to Canada with all federal prejudices. T https://t.co/PPFCL9EK9Q"
wendynilsson,Texas,"RT @kazweida: (12) Here is a general consensus on key state senate races. 

Tossup: Wisconsin
Lean Republican: Florida, Michigan, Pennsylva"
iamstaceylynn,KC MO & Monterey CA,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
srdavis2161,,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
CarlStucker,,RT @NickRiccardi: Another poll showing Rs up big in Tennessee and Texas senate races https://t.co/c0Bu14UHh4
JamesWhitethorn,"Louisville, KY ","RT @BetoORourke: ""About 1,750 area residents filled much of the Rudder Auditorium on the Texas A&amp;M campus on Friday to listen to U.S. Senat"
prengerkfp,,"RT @Politics_Polls: #TXsen
Cruz (R) 50% (+6)
O'Rourke (D) 44%

#TNsen
Blackburn (R) 50% (+8)
Bredesen (D) 42%

@YouGovUS/@CBSNews 10/2-5
ht"
tpaape29,"Denver, CO","RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
RavensOrioles21,,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
jldsport8,"Canton, Texas, USA","RT @BetoORourke: ""About 1,750 area residents filled much of the Rudder Auditorium on the Texas A&amp;M campus on Friday to listen to U.S. Senat"
ItsRigged2016,,"RT @emolumentalass: @Greg_Palast Thank you, Mr Palast. Any suspicious election activity in Texas? Asking for a rising star Senate candidate"
pavi8335,New York,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
Oksista4U,"OKlahoma, USA","RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
Lezfli,"Baltimore, Maryland","RT @JessForevrYoung: Two young black girls doing their bit by campaigning for Texas Democratic Senate candidate Beto ORourke, along with t"
ninetiesdude7,NYC,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
jjb128,Washington DC,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
gtownliberal,,"RT @HangManRoyBean: Help us flip the U.S. Senate 

*Candidates we must focus on:

Beto O'Rourke, Texas Jacky Rosen, Nevada
Kyrsten Sinema,"
jamie_kotler,,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
simonosbore,,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
alex5348,"Indianapolis, IN","RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
Foro17,USA,"Senate races: GOP up in Texas, Tennessee; Dems up in Arizona, New Jersey  CBS News poll https://t.co/uxGtFPZY9d"
leonardocarella,Oxford - Rome - Warsaw,Taylor Swift's endorsement is strategic and evidence-based: Tennessee is sensibly closer than other Senate races ub https://t.co/1tUAjtZFsc
DanCon4,The State of Miami,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
JerseyGirl_555,United States,"RT @RealMAGASteve: FOREIGN MEDDLING: Beto ORourke busted taking contributions from out of country

Foreign nationals are meddling in U.S."
kirwin58,"Wright City, MO","RT @StatesPoll: United States Senate election in Texas, 2018
Cruz(Rep) vs O'Rourke (Dem). CBS News/YouGov 10/2-10/5
My Analysis Post: https"
chicagogal,,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
mrssmith2018,"New York, USA","RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
speckman16,,RT @tedcruz: ICYMI: A clip of my interview with Sean Hannity last night where I talk about the stakes of today's vote to #ConfirmKavanaugh
madiangelo,somewhere in outer space,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
sicksnacks,Syracuse,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
seekupTx,Yankee in Texas ,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
nkknvll,"Orlando, FL","RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
MatthewIA03,Iowa District 3 citizen,"RT @HangManRoyBean: Help us flip the U.S. Senate 

*Candidates we must focus on:

Beto O'Rourke, Texas Jacky Rosen, Nevada
Kyrsten Sinema,"
vampire_betty,,RT @Amy_Siskind: Also donating today to @BetoORourke and @PhilBredesen https://t.co/11bTAMEIX7
OzDiva133,Blackwater,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
MomKozz,United States,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
ilymalabella,,"RT @HangManRoyBean: Help us flip the U.S. Senate 

*Candidates we must focus on:

Beto O'Rourke, Texas Jacky Rosen, Nevada
Kyrsten Sinema,"
Jessi_said_what,,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
KopitiamBot,Singapore,Why Ted Cruz will defeat Beto ORourke in this Texas Senaterace https://t.co/xtQVMW5tR4 https://t.co/0glCNQbMRU
1055anton,Texas,"RT @BetoORourke: ""About 1,750 area residents filled much of the Rudder Auditorium on the Texas A&amp;M campus on Friday to listen to U.S. Senat"
tallymarxx,"Fishers, IN","RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
rachelpchapa,"Houston, TX",@charliekirk11 @taylorswift13 @charliekirk11 I sure hope you are right! And @SenTedCruz needs to be re-elected here https://t.co/xn6V8KuoFh
SusanCa48532386,"Hailey, ID","RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
Band_of_Anons,Planet Earth,"RT @Cali_Tracii: @RealErinCruz @tedcruz                
Hold the Senate with a #RedNovember.

A M E R I C A 's @tedcruz fo"
WyattBEarp,Republic of Texas,"CBS News poll: GOP up in #Texas, Tennessee Senate races; Dems up in Arizona, New Jersey https://t.co/eiDH1OxCZC via https://t.co/2Ps7hbY7ng"
peaceful1970,"Virginia, USA","RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
penneyewart,,"RT @HangManRoyBean: Help us flip the U.S. Senate 

*Candidates we must focus on:

Beto O'Rourke, Texas Jacky Rosen, Nevada
Kyrsten Sinema,"
shawnfrombklyn,,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
monkeyglasses11,,"@Lawrence The House of Representatives is based on the population of each state, and is therefore more ""representat https://t.co/2atnrJfMsg"
redellis1,,RT @EWErickson: Progressives should really seize hold of federalism.  You can't get rid of the Senate.  So embrace the current structure to
bakoff333,,"RT @JohnWHuber: Note the use of North Dakota and New York instead of Rhode Island and Texas

Also equal representation by the states in the"
1213Shane,"New Hampshire, USA","RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
rachelpi,"Pittsburgh, PA","RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
msmo4461,,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
Kallen130vt,,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
borntobird,"Batavia, IL","RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
MamaWarrior_,,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
MazzellaAngie,,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
hankdevjr,,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
dreamgirls,"New York, NY","RT BuzzFeedNewsdreamgirls: Police in Texas removed an anti-Republican political sign from a woman's yard, amid nati https://t.co/JrUJlgW4de"
kareem_tyrone,,"RT @HangManRoyBean: Help us flip the U.S. Senate 

*Candidates we must focus on:

Beto O'Rourke, Texas Jacky Rosen, Nevada
Kyrsten Sinema,"
MayfieldColorCo,United States,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
ThomasFavalora,,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
fl_pat,,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
dolex_d,,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
ReallyEmyFarley,"St. Paul, MN","RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
edwebst,,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
StocktonLaw,Oklahoma,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
lilyferrarehi,"Ann Arbor, MI","RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
NancyLRogers1,"Pennsylvania, USA","RT @Politics_Polls: #TXsen
Cruz (R) 50% (+6)
O'Rourke (D) 44%

#TNsen
Blackburn (R) 50% (+8)
Bredesen (D) 42%

@YouGovUS/@CBSNews 10/2-5
ht"
SurrealLife,Florida,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
jtallotta,New Jersey,"RT @Cali_Tracii: @RealErinCruz @tedcruz                
Hold the Senate with a #RedNovember.

A M E R I C A 's @tedcruz fo"
KimballElena,U.S.A.,"RT @Cali_Tracii: @RealErinCruz @tedcruz                
Hold the Senate with a #RedNovember.

A M E R I C A 's @tedcruz fo"
debjones334,"Chelsea, AL","RT @Cali_Tracii: @RealErinCruz @tedcruz                
Hold the Senate with a #RedNovember.

A M E R I C A 's @tedcruz fo"
birdman8272,United States,"RT @Cali_Tracii: @RealErinCruz @tedcruz                
Hold the Senate with a #RedNovember.

A M E R I C A 's @tedcruz fo"
AmyEAdams77,"Boston, MA","RT @StatesPoll: United States Senate election in Texas, 2018
Cruz(Rep) vs O'Rourke (Dem). CBS News/YouGov 10/2-10/5
My Analysis Post: https"
BethBob2,,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
NOfNews_Texas,"Dallas, Texas",Mississippi Senate holds hearing on lifetime voting ban A Mississippi Senate committee has held a meeting to hear c https://t.co/sDYVKhRSue
Cheryl6656,,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
FatherSwami,"Blue Florida, USA","RT @HangManRoyBean: Help us flip the U.S. Senate 

*Candidates we must focus on:

Beto O'Rourke, Texas Jacky Rosen, Nevada
Kyrsten Sinema,"
TinaSchoenherr,"Farmington Hills, MI","RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
pattyannval1,"DFW, Lone Star State",@BetoORourke Back begging for money again Beta? You have ZERO chance winning the Senate in Texas! #ChooseCruz https://t.co/Vvher8kWzM
JoshMillerKY,"Lexington, KY","RT @HangManRoyBean: Help us flip the U.S. Senate 

*Candidates we must focus on:

Beto O'Rourke, Texas Jacky Rosen, Nevada
Kyrsten Sinema,"
jmjc385,Ireland,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
SaraGrossman,"Berlin, Germany","RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
EmpressLiran,"yeah yeah fire, ","RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
JeanieHorine,,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
J_S_Hunny,Realville,RT @greenfield64: Equal representation in the Senate was the price of Union. It's the ONLY part of the Constitution that cannot be amended.
GFVAHiker,Virginia,RT @greenfield64: Equal representation in the Senate was the price of Union. It's the ONLY part of the Constitution that cannot be amended.
HEDGEenergy,ask why?,"Cruz and O'Rourke face off in testy Texas Senate debate https://t.co/2fsaxMEbwO

#WallSt"
its_en_not_on,,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
vlmadden,"New York, NY","8 close Senate races: give $ or time via phone/text:

NV (D-Rosen v. R-Heller)
ND(D-Heitkamp v. R-Cramer)
MS (D-McC https://t.co/FLfQsvpC61"
Boerne27,"Texas, USA","RT @Cali_Tracii: @RealErinCruz @tedcruz                
Hold the Senate with a #RedNovember.

A M E R I C A 's @tedcruz fo"
SuperShar01,Arizona,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
bustacaptx,,"RT @Cali_Tracii: @RealErinCruz @tedcruz                
Hold the Senate with a #RedNovember.

A M E R I C A 's @tedcruz fo"
gboddicker,Dirtside of the levee midst the regimented plant life ,@SenWhitehouse Lets give Rhode Islands Senate seats to Texas!! https://t.co/Fcwea5MGP3
pikiMIA,,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
WillOfThePeopl5,,"RT @Cali_Tracii: @RealErinCruz @tedcruz                
Hold the Senate with a #RedNovember.

A M E R I C A 's @tedcruz fo"
SarcasticBride,East Coast,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
msquickaintfair,,RT @MSNBC: MSNBCs @SteveKornacki breaks down the Texas Senate race.Make sense of the midterms on MSNBC.
trublubeliever,"Maryland, USA","RT @HangManRoyBean: Help us flip the U.S. Senate 

*Candidates we must focus on:

Beto O'Rourke, Texas Jacky Rosen, Nevada
Kyrsten Sinema,"
Spike27183146,,"RT @KevinBooker212: If Democrats lose North Dakota which looks like they will, it would mean that they'd have to hold every other one of th"
angelathomas22,,"RT @Cali_Tracii: @RealErinCruz @tedcruz                
Hold the Senate with a #RedNovember.

A M E R I C A 's @tedcruz fo"
notpickypie,,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
OSU_deltagee94,"Powell, OH","RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
katiejhammond,NEW YORK CITY,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
GartrellLinda,United States,"RT @Cali_Tracii: @RealErinCruz @tedcruz                
Hold the Senate with a #RedNovember.

A M E R I C A 's @tedcruz fo"
ScottLeMagicien,,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
CLRienhoff,,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
kumarse3,,"RT @CBSNews: Senate races: GOP up in Texas, Tennessee; Dems up in Arizona, New Jersey  CBS News poll https://t.co/afTPs5O5Pp https://t.co/"
jep1218,,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
MaebhClones,,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
oflynnigan,"Hilliard, OH","RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
Bullsranch99,420 Copperhead Rd. NW Florida,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
GarrettJag543,"Portland, TX","RT @BetoORourke: ""About 1,750 area residents filled much of the Rudder Auditorium on the Texas A&amp;M campus on Friday to listen to U.S. Senat"
LolaWillFollow,#Florida #Maine,"RT @Cali_Tracii: @RealErinCruz @tedcruz                
Hold the Senate with a #RedNovember.

A M E R I C A 's @tedcruz fo"
DotPoetryCorner,"Indianapolis, IN","RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
rageandbones,"Pennsylvania, USA","RT @BuzzFeedNews: Police in Texas removed an anti-Republican political sign from a woman's yard, amid nationwide rancor over the Senate's v"
pkdonuts_5,"Ohio, USA","RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
herbnan13,"St Louis, MO","RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
kris_denslow,,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
MrDCConn,"Columbus, OH","RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
HK2K16_,Where Trumpsters aren't. ,"RT @HoarseWisperer: @ILperspective @zipillinois Democrats need to be perfect in the midterms to flip the Senate.

A Manchin loss would kill"
adivaat50ish,Maylene AL,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
rcoynehull,,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
3GirlsMeemaw,"Mitten State, USA","RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
JKeisch,"Somerville, MA","RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
Davebadnuz,USA,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
marigoldhart,,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
young620_bryan,Republic of the Philippines,RT @CommonSenseUni: Texans:  If someone would've told me this morning that Beto would win our Texas Senate over Cruz. This is the Gif I wou
catbrose,"Brooklyn, New York","RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
THEAlleyeceeing,Assassins Embassy,Were here to make sure you dont put a Beto male in the U.S. Senate!she declared to delirious applause. Let me https://t.co/Zf4e3fY28y
diamondrn,"Charlotte, NC USA",New poll of likely voters shows a 6-point lead for #TedCruz over 'Beto' in key US #Senate race in #Texas. https://t.co/KVxjBvdokL
DonnaSquitieri,NY-District 12,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
readoooodles,"Where else, the library.","RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
HeatherFazio1,"New York, USA","RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
aint2sure,Moultrie GA,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
jennamanenna,Philadelphia,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
Billmisew,"Tennessee, USA",RT @CommonSenseUni: Texans:  If someone would've told me this morning that Beto would win our Texas Senate over Cruz. This is the Gif I wou
VeganSuds,,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
twiticity,"Washington, DC","RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
JoanMumford,"Cardiff by the Sea, CA",RT @greenfield64: Equal representation in the Senate was the price of Union. It's the ONLY part of the Constitution that cannot be amended.
SpecklestheJim,"London, England","RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
ChristaSprinkle,"Portland, Oregon","RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
buffybs,,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
HeidiGreen9,"Cleveland, Ohio","RT @Alyssa_Milano: 5. TEXAS SENATE ELECTION
Vote For @BetoORourke 
DONATE: https://t.co/WcP2YmTWr4

#KavanaughKarma"
RealSugarLily,#SUPPORTOURMILITARY#ARMYBRAT,RT @CommonSenseUni: Texans:  If someone would've told me this morning that Beto would win our Texas Senate over Cruz. This is the Gif I wou
RealJChen92,"California, USA","RT @colbertlateshow: ""We don't need a wall"" says Texas Senate candidate @BetoORourke in his conversation with @StephenAtHome on tonight's #"
Squeegie4,,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
