ids,ids,text
8.93E+17,8.93E+17,"french louisiana rt @dailycaller: texas politics project dissects polls, explains why  cruz   cruz  will win https://t.co/x6nnmu4umi https://t.co/8p0xcko7ln"
7.79E+17,7.79E+17," rt @amybrenneman: 8 democrats in senate races who could use any kavanaugh rage dollars you are looking to spend.
joe donnelly, indiana
heid"
14263856,14263856,"san francisco rt @nationalnurses: nurses are proud to endorse @ beto   beto   for u.s. senate, #texas!

 beto  understands that, regardless of ability to pay"
4475931192,4475931192,"red state of indiana rt @bud_cann: one by one they fall by the wayside, family, friends, associates, and entertainers i have loved listening to. willie nelson i"
9.02E+17,9.02E+17,"texas rt @foxnews: .@potus: ""the senate confirmed a supremely qualified nominee who will be a faithful defender of the rule of law."" https://t.co"
787367066,787367066,"boston, ma rt @nationalnurses: nurses are proud to endorse @ beto   beto   for u.s. senate, #texas!

 beto  understands that, regardless of ability to pay"
7.71E+17,7.71E+17,"united states rt @nationalnurses: nurses are proud to endorse @ beto   beto   for u.s. senate, #texas!

 beto  understands that, regardless of ability to pay"
8.19E+17,8.19E+17,"missoula, mt rt @amybrenneman: 8 democrats in senate races who could use any kavanaugh rage dollars you are looking to spend.
joe donnelly, indiana
heid"
844085474,844085474,"terra 33 rt @politics_polls: texas senate:
 cruz   cruz  47% (+5)
 beto   beto  42%

@emersonpolling 10/1-5
https://t.co/elbyig9wxa #txsen"
565902907,565902907,"alberta, canada rt @amybrenneman: 8 democrats in senate races who could use any kavanaugh rage dollars you are looking to spend.
joe donnelly, indiana
heid"
332356421,332356421,"boca raton, fl rt @dailycaller: texas politics project dissects polls, explains why  cruz   cruz  will win https://t.co/x6nnmu4umi https://t.co/8p0xcko7ln"
41309526,41309526,"edmonton, canada rt @nationalnurses: nurses are proud to endorse @ beto   beto   for u.s. senate, #texas!

 beto  understands that, regardless of ability to pay"
15646687,15646687,"indianapolis, in rt @amybrenneman: 8 democrats in senate races who could use any kavanaugh rage dollars you are looking to spend.
joe donnelly, indiana
heid"
2319141767,2319141767,"washington, dc rt @nate_cohn: tonight, texas, tennessee and nevada senate
https://t.co/yq9xd1eyso"
1683770802,1683770802,"planet earth rt @amybrenneman: 8 democrats in senate races who could use any kavanaugh rage dollars you are looking to spend.
joe donnelly, indiana
heid"
320845734,320845734," bigcity  , texas democrats should be worried about the tight senate races in red states, including texas. and they should not be too https://t.co/op3qpp1yzh"
9.53E+17,9.53E+17," rt @jrubinblogger: press keeps saying trump is helping in senate. but since 2016 ohio, wis , penn and w va arent really competitive at all"
1.02E+18,1.02E+18,"shining city on a hill rt @dailycaller: texas politics project dissects polls, explains why  cruz   cruz  will win https://t.co/x6nnmu4umi https://t.co/8p0xcko7ln"
2892971,2892971,"san francisco rt @nationalnurses: nurses are proud to endorse @ beto   beto   for u.s. senate, #texas!

 beto  understands that, regardless of ability to pay"
2955615302,2955615302," bigcity  , texas rt @alyssa_milano: 5. texas senate election
vote for @ beto   beto   
donate: https://t.co/wcp2ymtwr4

#kavanaughkarma"
8.06E+17,8.06E+17,"washington, usa rt @amybrenneman: 8 democrats in senate races who could use any kavanaugh rage dollars you are looking to spend.
joe donnelly, indiana
heid"
3004114770,3004114770,"florida, usa rt @frodofied: judging from the nearly 1000 responses i got so far to my tweet concerning the current #texas senate polls i think it's fair"
2906820023,2906820023,"new york university rt @amybrenneman: 8 democrats in senate races who could use any kavanaugh rage dollars you are looking to spend.
joe donnelly, indiana
heid"
543941548,543941548, rt @cbsnews: polls show that democrat candidate  beto   beto  is closing in on republican incumbent  cruz   cruz  with single digit numbers in a
801314203,801314203," bigcity  , tx rt @nate_cohn: tonight, texas, tennessee and nevada senate
https://t.co/yq9xd1eyso"
19496132,19496132," rt @dailycaller: texas politics project dissects polls, explains why  cruz   cruz  will win https://t.co/x6nnmu4umi https://t.co/8p0xcko7ln"
1.05E+18,1.05E+18, rt @thehill: record number of texans register to vote amid tight senate race https://t.co/oswo2ugh7i https://t.co/ssnaxzhrbp
1529525761,1529525761,"memphis, tn rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
1110457584,1110457584,miami rt @chickwerner: @politvidchannel #nowharbuttexas #vote #2018midterms for @ beto   beto   for senate#lose cruz because #texas deserves a
393312979,393312979,"pineville, wv rt @thehill: record number of texans register to vote amid tight senate race https://t.co/oswo2ugh7i https://t.co/ssnaxzhrbp"
37502757,37502757,"long island rt @keramirez: tx voters beware of #thewolfinsheepclothing
if u google,  beto    beto  ,thelib searchengine, portrays him  as a hispanicgoodg"
115771812,115771812,ny rt @chickwerner: @politvidchannel #nowharbuttexas #vote #2018midterms for @ beto   beto   for senate#lose cruz because #texas deserves a
2666471250,2666471250, rt @thehill: record number of texans register to vote amid tight senate race https://t.co/oswo2ugh7i https://t.co/ssnaxzhrbp
8.31E+17,8.31E+17, rt @thehill: record number of texans register to vote amid tight senate race https://t.co/oswo2ugh7i https://t.co/ssnaxzhrbp
8.93E+17,8.93E+17,"titus, alabama rt @keramirez: tx voters beware of #thewolfinsheepclothing
if u google,  beto    beto  ,thelib searchengine, portrays him  as a hispanicgoodg"
171198826,171198826,"wisconsin, usa rt @opensecretsdc: #txsen - filmmaker richard linklater has direc cruz  a number of anti- @  cruz   ads for the texas senate race https://t.co/"
8.87E+17,8.87E+17,"arizona, usa rt @amybrenneman: 8 democrats in senate races who could use any kavanaugh rage dollars you are looking to spend.
joe donnelly, indiana
heid"
7.17E+17,7.17E+17,"california, usa rt @steffs_tweets: keep texas red
vote @  cruz   for senate!! 
#choose cruz  https://t.co/xi8fbu6giy"
30050899,30050899,"washington, d.c. #txsen - filmmaker richard linklater has direc cruz  a number of anti- @  cruz   ads for the texas senate race https://t.co/agsww0rmoi"
7.74E+17,7.74E+17,"ghana rt @theeconomist: democrat  beto   beto  is running a competitive campaign in texas, a state that has not elec cruz  a democrat to statewide o"
8.92E+17,8.92E+17, rt @thehill: record number of texans register to vote amid tight senate race https://t.co/oswo2ugh7i https://t.co/ssnaxzhrbp
2878870849,2878870849,"edgewood, tx rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
9.54E+17,9.54E+17, rt @thehill: record number of texans register to vote amid tight senate race https://t.co/oswo2ugh7i https://t.co/ssnaxzhrbp
2180003552,2180003552,"the sunbelt, usa rt @thehill: record number of texans register to vote amid tight senate race https://t.co/oswo2ugh7i https://t.co/ssnaxzhrbp"
719274540,719274540,"tamu 20 a womans place is in the house, the senate, and the texas governorship #votelupe"
1551537997,1551537997," rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
46326721,46326721," bigcity  , texas actress eva longoria backs  beto   beto  for senate in race against  cruz   cruz  https://t.co/ftvwtl0ovq https://t.co/0uwjz6mvel"
36808728,36808728," bigcity  , tx  @ beto   beto   for texas senate race!!!!"
2590275548,2590275548,"texas rt @keramirez: tx voters beware of #thewolfinsheepclothing
if u google,  beto    beto  ,thelib searchengine, portrays him  as a hispanicgoodg"
1048275546,1048275546,earth rt @thehill: record number of texans register to vote amid tight senate race https://t.co/oswo2ugh7i https://t.co/ssnaxzhrbp
143349914,143349914,"minnesota, usa rt @thehill: record number of texans register to vote amid tight senate race https://t.co/oswo2ugh7i https://t.co/ssnaxzhrbp"
113380639,113380639,"united states @ beto   beto   for texas senate!
yesterday, a  cruz e supporter asked, did you hear  beto  gave a sexist review of a mov https://t.co/ykfuobmqbm"
473119964,473119964,"london, england rt @thehill: record number of texans register to vote amid tight senate race https://t.co/oswo2ugh7i https://t.co/ssnaxzhrbp"
8.73E+17,8.73E+17, rt @thehill: record number of texans register to vote amid tight senate race https://t.co/oswo2ugh7i https://t.co/ssnaxzhrbp
259482249,259482249,h-town  san diego  nyc rt @thehill: record number of texans register to vote amid tight senate race https://t.co/oswo2ugh7i https://t.co/ssnaxzhrbp
39141437,39141437,"grand forks, north dakota rt @thehill: record number of texans register to vote amid tight senate race https://t.co/oswo2ugh7i https://t.co/ssnaxzhrbp"
3112345673,3112345673,"long island, new york rt @keramirez: tx voters beware of #thewolfinsheepclothing
if u google,  beto    beto  ,thelib searchengine, portrays him  as a hispanicgoodg"
15320382,15320382,california rt @thehill: record number of texans register to vote amid tight senate race https://t.co/oswo2ugh7i https://t.co/ssnaxzhrbp
543649046,543649046, rt @thehill: record number of texans register to vote amid tight senate race https://t.co/oswo2ugh7i https://t.co/ssnaxzhrbp
205600474,205600474,the library rt @thehill: record number of texans register to vote amid tight senate race https://t.co/oswo2ugh7i https://t.co/ssnaxzhrbp
9.99E+17,9.99E+17," rt @brotherbexar: today is the last day to register to vote in #texas.  

make @ladygaga proud and get  cruz  outta office! 
vote @ beto orourk"
3272484554,3272484554,"united states rt @amybrenneman: 8 democrats in senate races who could use any kavanaugh rage dollars you are looking to spend.
joe donnelly, indiana
heid"
8.40E+17,8.40E+17,"new jersey, usa rt @celeste_pewter: it's tuesday, 10/9. if you live in states with key senate races like:

arizona
florida
indiana
michigan
mississippi
nev"
540954290,540954290,"boynton beach, florida rt @celeste_pewter: it's tuesday, 10/9. if you live in states with key senate races like:

arizona
florida
indiana
michigan
mississippi
nev"
9.89E+17,9.89E+17,iowa house district 44 rt @thehill: record number of texans register to vote amid tight senate race https://t.co/oswo2ugh7i https://t.co/ssnaxzhrbp
81472795,81472795,"wishanigga woods rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
127123034,127123034,"setx rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
44464195,44464195,wisconsin rt @thehill: record number of texans register to vote amid tight senate race https://t.co/oswo2ugh7i https://t.co/ssnaxzhrbp
17257812,17257812, rt @thehill: record number of texans register to vote amid tight senate race https://t.co/oswo2ugh7i https://t.co/ssnaxzhrbp
864152388,864152388," rt @fawfulfan: there are a couple of races, like the texas senate race, that are going to hinge pretty much entirely on whether young peopl"
8.85E+17,8.85E+17,"colorado, usa rt @thehill: record number of texans register to vote amid tight senate race https://t.co/oswo2ugh7i https://t.co/ssnaxzhrbp"
15434104,15434104," smalltown  , tx additional 57 texas county sheriffs endorse  cruz   cruz  -  cruz   cruz  for senate https://t.co/rszb39m1nx"
2785406237,2785406237,"indianapolis, in rt @celeste_pewter: it's tuesday, 10/9. if you live in states with key senate races like:

arizona
florida
indiana
michigan
mississippi
nev"
1917731,1917731,"washington, dc record number of texans register to vote amid tight senate race https://t.co/oswo2ugh7i https://t.co/ssnaxzhrbp"
2290650038,2290650038,"sacramento, ca rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
738080100,738080100, record number of texans register to vote amid tight senate race https://t.co/bwhpbg9ips
7.77E+17,7.77E+17,"earth rt @amybrenneman: 8 democrats in senate races who could use any kavanaugh rage dollars you are looking to spend.
joe donnelly, indiana
heid"
488580338,488580338,"usa rt @keramirez: tx voters beware of #thewolfinsheepclothing
if u google,  beto    beto  ,thelib searchengine, portrays him  as a hispanicgoodg"
252788807,252788807,"everywhere rt @theeconomist: democrat  beto   beto  is running a competitive campaign in texas, a state that has not elec cruz  a democrat to statewide o"
4475324234,4475324234,"arkansas, usa rt @keramirez: tx voters beware of #thewolfinsheepclothing
if u google,  beto    beto  ,thelib searchengine, portrays him  as a hispanicgoodg"
101312480,101312480,"new york city rt @pinboard:  cruz   cruz , who vo cruz  to confirm kavanaugh and is in a hotly contes cruz  senate race in texas, received $3,000 from amazon and $6"
2430626287,2430626287," rt @keramirez: tx voters beware of #thewolfinsheepclothing
if u google,  beto    beto  ,thelib searchengine, portrays him  as a hispanicgoodg"
3302902787,3302902787,"cincinnati, oh rt @amybrenneman: 8 democrats in senate races who could use any kavanaugh rage dollars you are looking to spend.
joe donnelly, indiana
heid"
2300590735,2300590735, rt @bssymrgn: if yall let mf  cruz  crusty win this texas senate race im personally beating each and everyone one of yalls asses
212840105,212840105,"long beach rt @celeste_pewter: it's tuesday, 10/9. if you live in states with key senate races like:

arizona
florida
indiana
michigan
mississippi
nev"
1.02E+18,1.02E+18,"texas, usa rt @deltadawnn99: vote  cruz   cruz  for texas senate!  thank you ray ray for the poem! https://t.co/sax7ef1pid"
9.54E+17,9.54E+17," rt @keramirez: tx voters beware of #thewolfinsheepclothing
if u google,  beto    beto  ,thelib searchengine, portrays him  as a hispanicgoodg"
7.01E+17,7.01E+17,"southern california rt @keramirez: tx voters beware of #thewolfinsheepclothing
if u google,  beto    beto  ,thelib searchengine, portrays him  as a hispanicgoodg"
9.36E+17,9.36E+17,"texas, usa today is the last day to register to vote in #texas.  

make @ladygaga proud and get  cruz  outta office! 
vote https://t.co/3lztxmjfvg"
2939884403,2939884403,"northern ireland,  rt @amybrenneman: 8 democrats in senate races who could use any kavanaugh rage dollars you are looking to spend.
joe donnelly, indiana
heid"
9.59E+17,9.59E+17," rt @keramirez: tx voters beware of #thewolfinsheepclothing
if u google,  beto    beto  ,thelib searchengine, portrays him  as a hispanicgoodg"
9.77E+17,9.77E+17,"parrish, fl rt @keramirez: tx voters beware of #thewolfinsheepclothing
if u google,  beto    beto  ,thelib searchengine, portrays him  as a hispanicgoodg"
23792889,23792889," bigcity  , texas im voting for  beto   beto . https://t.co/1zdbufj8wi"
18867497,18867497,"south padre island, tx this is who  cruz   cruz  is, man who wouldn't stand up to defend his wife or father and you expect what from him again? https://t.co/kksl1fs3ez"
4197281834,4197281834, rt @bssymrgn: if yall let mf  cruz  crusty win this texas senate race im personally beating each and everyone one of yalls asses
9.00E+17,9.00E+17," bigcity  , tx rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
1583986518,1583986518," bigcity  , texas ""dont be shocked if you spy lawns sporting a combo of yard signs for democrat @ beto   beto   for senate, democrat https://t.co/skhvvkc2xj"
109272832,109272832,"ny-tx rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
9.60E+17,9.60E+17,anywhere on the planet rt @mike_niggums: get to it people last day in for texas lets get  beto  the fuck in the senate. https://t.co/zw22o2erhg
69549499,69549499,global rt @thehill: watch: eva longoria endorses  beto   beto  in new video https://t.co/h7lehcfopd https://t.co/0f7dhplzxu
8.23E+17,8.23E+17," rt @keramirez: tx voters beware of #thewolfinsheepclothing
if u google,  beto    beto  ,thelib searchengine, portrays him  as a hispanicgoodg"
118252597,118252597,"none rt @keramirez: tx voters beware of #thewolfinsheepclothing
if u google,  beto    beto  ,thelib searchengine, portrays him  as a hispanicgoodg"
8.89E+17,8.89E+17,"florida, usa @  cruz   texas voters dont vote for  cruz   cruz  because hes endorsed by a misogynist, liar, racist and bigot whose https://t.co/pafeacjeaf"
141605349,141605349,"trinidad & tobago rt @nbcnightlynews: ""we're in a very divided time. that's true in texas, it's true nationally."" 

sen.  cruz   cruz  talks to @lesterholtnbc abo"
22721955,22721955,"hollywood rt @amybrenneman: 8 democrats in senate races who could use any kavanaugh rage dollars you are looking to spend.
joe donnelly, indiana
heid"
8.06E+17,8.06E+17," rt @nbcnightlynews: ""we're in a very divided time. that's true in texas, it's true nationally."" 

sen.  cruz   cruz  talks to @lesterholtnbc abo"
482309161,482309161," rt @celeste_pewter: it's tuesday, 10/9. if you live in states with key senate races like:

arizona
florida
indiana
michigan
mississippi
nev"
8.66E+17,8.66E+17,"everywhere usa rt @keramirez: tx voters beware of #thewolfinsheepclothing
if u google,  beto    beto  ,thelib searchengine, portrays him  as a hispanicgoodg"
3912104434,3912104434,"washington, dc rt @dawg_lb: vote to re-elect senator  cruz   cruz  texas u.s. senate 2018 keeping texas 'red' and @sen  cruz   continuing his hard and important"
9.25E+17,9.25E+17,"south bend, in @xenocryptsite major change would be to the electoral college. if you increase size of house to say 635 instead of https://t.co/aazitdl0dm"
8.46E+17,8.46E+17," rt @keramirez: tx voters beware of #thewolfinsheepclothing
if u google,  beto    beto  ,thelib searchengine, portrays him  as a hispanicgoodg"
2383909340,2383909340,"texas, usa rt @celeste_pewter: it's tuesday, 10/9. if you live in states with key senate races like:

arizona
florida
indiana
michigan
mississippi
nev"
7.12E+17,7.12E+17," rt @keramirez: tx voters beware of #thewolfinsheepclothing
if u google,  beto    beto  ,thelib searchengine, portrays him  as a hispanicgoodg"
593297966,593297966,"washington dc bring 5 or 10, especially in georgia, florida, texas, nevada, where dems have real senate opportunities. and memo t https://t.co/dalrztwwf5"
49104405,49104405,"new orleans, louisiana if you live in texas for all that is good holy and not  cruz   cruz  please register to vote today is the last day to re https://t.co/bpgxjw1zmv"
40089945,40089945,"far west texas, usa rt @amybrenneman: 8 democrats in senate races who could use any kavanaugh rage dollars you are looking to spend.
joe donnelly, indiana
heid"
2608520462,2608520462," bigcity  , tx rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
7.85E+17,7.85E+17,"ihate, ny rt @keramirez: tx voters beware of #thewolfinsheepclothing
if u google,  beto    beto  ,thelib searchengine, portrays him  as a hispanicgoodg"
2909374698,2909374698,"texas, usa rt @amybrenneman: 8 democrats in senate races who could use any kavanaugh rage dollars you are looking to spend.
joe donnelly, indiana
heid"
116529042,116529042," bigcity  , tx this texas senate race just gained a first-time, (formerly) reluctant voter! # beto fortexas https://t.co/u23ttzcbby"
9.33E+17,9.33E+17,"florida, usa rt @steffs_tweets: keep texas red
vote @  cruz   for senate!! 
#choose cruz  https://t.co/xi8fbu6giy"
3350674221,3350674221,"united states rt @texas_bourne: francis  beto  obama.. beto  wows voters w/an apology: 
""texas senate candidate  beto ...apologized for writing review of a"
3039513843,3039513843," rt @amybrenneman: 8 democrats in senate races who could use any kavanaugh rage dollars you are looking to spend.
joe donnelly, indiana
heid"
3033650073,3033650073,"maryland, usa rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
488856480,488856480,"great state of efm'er rt @amybrenneman: 8 democrats in senate races who could use any kavanaugh rage dollars you are looking to spend.
joe donnelly, indiana
heid"
7.60E+17,7.60E+17,"mississippi, usa rt @statespoll: uni cruz  states senate election in texas, 2018
 cruz (rep) vs  beto  (dem). cbs news/yougov 10/2-10/5
my analysis post: https"
112501769,112501769," rt @celeste_pewter: it's tuesday, 10/9. if you live in states with key senate races like:

arizona
florida
indiana
michigan
mississippi
nev"
861963872,861963872," rt @keramirez: tx voters beware of #thewolfinsheepclothing
if u google,  beto    beto  ,thelib searchengine, portrays him  as a hispanicgoodg"
3417868756,3417868756,"de nile rt @rawstory: in texas senate race,  beto    beto   and  cruz   cruz  stand squarely apart 
https://t.co/k9cvsand7p"
8.27E+17,8.27E+17," rt @tt45pac_: heads up texas!

we need all of you to vote! 

.@sen  cruz   on his close senate race in texas: ""success can breed complacency"
87304113,87304113,"texas tlrpac endorses @donhuffines for the texas state senate, district 16! https://t.co/u3sbrrbxcj #txlege https://t.co/zsaxfnkihx"
8.84E+17,8.84E+17,"utah, usa rt @keramirez: tx voters beware of #thewolfinsheepclothing
if u google,  beto    beto  ,thelib searchengine, portrays him  as a hispanicgoodg"
589203557,589203557,"normal, il rt @steffs_tweets: keep texas red
vote @  cruz   for senate!! 
#choose cruz  https://t.co/xi8fbu6giy"
1.03E+18,1.03E+18,"wide open, tx rt @keramirez: tx voters beware of #thewolfinsheepclothing
if u google,  beto    beto  ,thelib searchengine, portrays him  as a hispanicgoodg"
9.84E+17,9.84E+17," bigcity  , tx rt @steffs_tweets: keep texas red
vote @  cruz   for senate!! 
#choose cruz  https://t.co/xi8fbu6giy"
8.89E+17,8.89E+17,"united states rt @keramirez: tx voters beware of #thewolfinsheepclothing
if u google,  beto    beto  ,thelib searchengine, portrays him  as a hispanicgoodg"
9.95E+17,9.95E+17,"missouri, usa rt @keramirez: tx voters beware of #thewolfinsheepclothing
if u google,  beto    beto  ,thelib searchengine, portrays him  as a hispanicgoodg"
9.22E+17,9.22E+17,"syracuse, ny rt @celeste_pewter: it's tuesday, 10/9. if you live in states with key senate races like:

arizona
florida
indiana
michigan
mississippi
nev"
8.25E+17,8.25E+17," rt @jrubinblogger: press keeps saying trump is helping in senate. but since 2016 ohio, wis , penn and w va arent really competitive at all"
2463978618,2463978618,"nyc rt @amybrenneman: 8 democrats in senate races who could use any kavanaugh rage dollars you are looking to spend.
joe donnelly, indiana
heid"
8.93E+17,8.93E+17," rt @amybrenneman: 8 democrats in senate races who could use any kavanaugh rage dollars you are looking to spend.
joe donnelly, indiana
heid"
418897767,418897767,"622 grinnell st. key west, fl midterm election poll: texas senate,  cruz  vs.   beto   https://t.co/ttmf7j0gmx"
113434748,113434748,"maryland rt @fawfulfan: there are a couple of races, like the texas senate race, that are going to hinge pretty much entirely on whether young peopl"
632448453,632448453,"mason, oh texas politics project dissects polls, explains why  cruz   cruz  will win https://t.co/cpcrcvfemh via @dailycaller"
9.49E+17,9.49E+17,"ohio, usa rt @fawfulfan: there are a couple of races, like the texas senate race, that are going to hinge pretty much entirely on whether young peopl"
2472896957,2472896957," rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
468851612,468851612,"#p3shsheart rt @donnasfineart: boyhood"" director richard linklater produced an ad for # beto   beto   (d-tx), senate opponent of  cruz   cruz  (r-tx), that qu"
7.14E+17,7.14E+17,"#maga northern california rt @keramirez: tx voters beware of #thewolfinsheepclothing
if u google,  beto    beto  ,thelib searchengine, portrays him  as a hispanicgoodg"
264933553,264933553," rt @steffs_tweets: keep texas red
vote @  cruz   for senate!! 
#choose cruz  https://t.co/xi8fbu6giy"
4196106413,4196106413,"ohio, usa rt @celeste_pewter: it's tuesday, 10/9. if you live in states with key senate races like:

arizona
florida
indiana
michigan
mississippi
nev"
7.74E+17,7.74E+17,"texas, usa rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
19821744,19821744," rt @steffs_tweets: keep texas red
vote @  cruz   for senate!! 
#choose cruz  https://t.co/xi8fbu6giy"
8.92E+17,8.92E+17," rt @nbcnightlynews: ""we're in a very divided time. that's true in texas, it's true nationally."" 

sen.  cruz   cruz  talks to @lesterholtnbc abo"
2776633655,2776633655," rt @amybrenneman: 8 democrats in senate races who could use any kavanaugh rage dollars you are looking to spend.
joe donnelly, indiana
heid"
1.04E+18,1.04E+18," eva longoria has opened her mouth to let america knows she supports  beto . 
this is my texas and we will not let cel https://t.co/ddotthvpiq"
1648684718,1648684718,"canada rt @celeste_pewter: it's tuesday, 10/9. if you live in states with key senate races like:

arizona
florida
indiana
michigan
mississippi
nev"
790395794,790395794," bigcity  / bigcity    rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
7.25E+17,7.25E+17,county jail rt @trumpology: @texaslivein @ray_nolen @proudrepublica4 @mariatweets3 @jgalt09 you really cant be that naive or ignorant. check out rober
204620618,204620618, rt @deltadawnn99: vote  cruz   cruz  for texas senate!  thank you ray ray for the poem! https://t.co/sax7ef1pid
270679712,270679712,"tx francis  beto  obama.. beto  wows voters w/an apology: 
""texas senate candidate  beto ...apologized for writing revie https://t.co/727m4pzuzo"
204620618,204620618, vote  cruz   cruz  for texas senate!  thank you ray ray for the poem! https://t.co/sax7ef1pid
2720184844,2720184844," rt @theeconomist: democrat  beto   beto  is running a competitive campaign in texas, a state that has not elec cruz  a democrat to statewide o"
7.81E+17,7.81E+17, rt @thehill: watch: eva longoria endorses  beto   beto  in new video https://t.co/h7lehcfopd https://t.co/0f7dhplzxu
9.23E+17,9.23E+17,"ontario, canada rt @amybrenneman: 8 democrats in senate races who could use any kavanaugh rage dollars you are looking to spend.
joe donnelly, indiana
heid"
3536755277,3536755277," rt @colbertlateshow: on tonight's episode we're revisiting texas senate candidate @ beto   beto  's chat with @stephenathome. plus, you get to"
7.98E+17,7.98E+17,"florida, usa rt @thehill: watch: eva longoria endorses  beto   beto  in new video https://t.co/h7lehcfopd https://t.co/0f7dhplzxu"
3536755277,3536755277, rt @thehill: watch: eva longoria endorses  beto   beto  in new video https://t.co/h7lehcfopd https://t.co/0f7dhplzxu
3621386293,3621386293, rt @natuglie:  tomorrow is the last day to register to vote for the senate race taking place in november  you can do it online here it ta
8.17E+17,8.17E+17," rt @keramirez: tx voters beware of #thewolfinsheepclothing
if u google,  beto    beto  ,thelib searchengine, portrays him  as a hispanicgoodg"
7.41E+17,7.41E+17,"los angeles, ca rt @amybrenneman: 8 democrats in senate races who could use any kavanaugh rage dollars you are looking to spend.
joe donnelly, indiana
heid"
264895948,264895948,"california, usa @ppollingnumbers @upshotnyt @sienaresearch from @upshotnyt, on texas senate race: ""dont take this poll seriously u https://t.co/srtmmggtdh"
4202560288,4202560288,"eastern seaboard rt @celeste_pewter: it's tuesday, 10/9. if you live in states with key senate races like:

arizona
florida
indiana
michigan
mississippi
nev"
230021244,230021244,"pittsburgh, pa @donaldjtrumpjr #texas, as an american i must admit i'm focused on the race between @ beto   beto   &amp; canadian bacon. https://t.co/sfubg0ckdz"
420531012,420531012," bigcity  , tx rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
1.04E+18,1.04E+18,"california, usa rt @keramirez: tx voters beware of #thewolfinsheepclothing
if u google,  beto    beto  ,thelib searchengine, portrays him  as a hispanicgoodg"
187605508,187605508,maryland rt @thehill: watch: eva longoria endorses  beto   beto  in new video https://t.co/h7lehcfopd https://t.co/0f7dhplzxu
20700191,20700191," bigcity  , tx usa rt @keramirez: tx voters beware of #thewolfinsheepclothing
if u google,  beto    beto  ,thelib searchengine, portrays him  as a hispanicgoodg"
3536755277,3536755277," rt @amybrenneman: 8 democrats in senate races who could use any kavanaugh rage dollars you are looking to spend.
joe donnelly, indiana
heid"
558294779,558294779,"texas rt @keramirez: tx voters beware of #thewolfinsheepclothing
if u google,  beto    beto  ,thelib searchengine, portrays him  as a hispanicgoodg"
103461888,103461888,"brooklyn, ny rt @celeste_pewter: it's tuesday, 10/9. if you live in states with key senate races like:

arizona
florida
indiana
michigan
mississippi
nev"
2371894405,2371894405,"215 814 rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
113151285,113151285,"washington, dc happily donating again to @ beto   beto   (and im from dc)! texas (and the country) need a man like  beto  in the sen https://t.co/wvyzjafbde"
1.01E+18,1.01E+18,"philadelphia  rt @fawfulfan: there are a couple of races, like the texas senate race, that are going to hinge pretty much entirely on whether young peopl"
1538301391,1538301391,"texas rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
328144953,328144953,"los angeles, ca rt @amybrenneman: 8 democrats in senate races who could use any kavanaugh rage dollars you are looking to spend.
joe donnelly, indiana
heid"
3053978610,3053978610," rt @fawfulfan: there are a couple of races, like the texas senate race, that are going to hinge pretty much entirely on whether young peopl"
2197106143,2197106143,"california, usa rt @ beto   beto  : ""about 1,750 area residents filled much of the rudder auditorium on the texas a&amp;m campus on friday to listen to u.s. senat"
1064412246,1064412246," smalltown  , tx rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
